City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Venado Tuerto,AR,-33.75,-61.97,71.01,30,0,20.0,clear sky
273,Leningradskiy,RU,69.38,178.42,44.44,86,97,12.8,overcast clouds
274,Talas,TR,38.69,35.55,64.4,55,0,4.7,clear sky
275,Turinsk,RU,58.05,63.7,47.12,94,0,5.61,clear sky
276,Chegdomyn,RU,51.12,133.02,56.97,92,100,2.24,light rain
277,Kamenka,RU,51.32,42.77,55.99,73,0,3.4,clear sky
278,Gbarnga,LR,7.0,-9.47,71.35,98,95,4.5,overcast clouds
279,Ndjole,GA,-0.18,10.76,76.26,76,100,6.6,overcast clouds
280,Lima,PE,-12.04,-77.03,66.2,68,40,10.29,scattered clouds
281,Lompoc,US,34.64,-120.46,75.99,69,1,6.93,clear sky
282,Norman Wells,CA,65.28,-126.83,68.0,52,20,17.22,few clouds
283,Husavik,IS,66.04,-17.34,50.0,71,66,8.05,broken clouds
284,Otjiwarongo,NA,-20.46,16.65,58.68,34,0,5.46,clear sky
285,Katsuura,JP,35.13,140.3,77.0,92,100,1.99,overcast clouds
286,Verkh-Usugli,RU,52.7,115.17,50.56,96,100,3.85,overcast clouds
287,Nalut,LY,30.33,10.85,83.16,30,0,14.88,clear sky
288,San Lawrenz,MT,36.06,14.2,82.0,88,0,8.05,clear sky
289,Adre,TD,13.47,22.2,74.75,86,100,9.75,light rain
290,Cedar City,US,37.68,-113.06,89.6,19,1,9.69,clear sky
291,Plettenberg Bay,ZA,-34.05,23.37,57.36,77,100,6.31,overcast clouds
292,Rafai,CF,4.95,23.92,68.61,96,100,1.74,overcast clouds
293,Muncar,ID,-8.43,114.33,72.66,88,90,0.78,overcast clouds
294,Lagoa,PT,39.05,-27.98,73.29,90,0,15.14,clear sky
295,La Plata,AR,-34.92,-57.95,69.8,43,0,13.87,clear sky
296,Bratsk,RU,56.13,101.61,48.2,93,96,2.24,overcast clouds
297,Kamra,PK,33.75,73.51,84.0,94,20,9.17,mist
298,Zhangjiakou,CN,40.81,114.88,61.7,83,97,5.95,overcast clouds
299,Port Elizabeth,ZA,-33.92,25.57,60.8,77,97,5.82,overcast clouds
300,Anisoc,GQ,1.87,10.77,70.16,95,100,2.01,light rain
301,Kaseda,JP,31.42,130.32,77.0,83,75,2.24,mist
302,Piacabucu,BR,-10.41,-36.43,73.83,80,17,7.43,few clouds
303,Sao Felix Do Xingu,BR,-6.64,-51.99,92.44,27,31,1.92,scattered clouds
304,Sesvete,HR,45.83,16.12,73.0,73,99,2.24,overcast clouds
305,Waynesville,US,35.49,-82.99,75.99,74,82,5.73,light rain
306,Kalmunai,LK,7.42,81.82,79.16,78,5,10.27,clear sky
307,Port-Gentil,GA,-0.72,8.78,78.8,74,75,13.82,broken clouds
308,Halifax,CA,44.65,-63.57,75.99,46,80,1.99,broken clouds
309,Taoudenni,ML,22.68,-3.98,105.06,7,0,12.44,clear sky
310,Fare,PF,-16.7,-151.02,77.4,76,0,19.1,clear sky
311,Atotonilco El Alto,MX,20.55,-102.52,81.97,38,24,6.17,few clouds
312,Suntar,RU,62.14,117.63,40.17,77,0,3.38,clear sky
313,Karakol,KG,42.49,78.39,60.8,33,57,2.55,broken clouds
